,Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
0,2022-07-20,"Cheese Ravioli, with Tomato Sauce","1.00 cup, whole pieces",327.16,0.0,0.0,177.16,0.49,0.52,3.35,0.88,0.21,0.74,104.63,144.2,10.76,30.6,1.72,8.71,166.6,0.19,3.16,36.52,0.4,211.79,506.24,27.19,1374.03,1.14,44.48,2.9,28.99,8.51,41.53,11.1,142.26,3.21,1.89,4.98,0.2,0.17,1.54,0.19,0.34,0.53,0.99,0.79,0.26,0.59,12.78,0.46,0.14,0.47,0.61,Cereal Grains and Pasta
1,2022-07-20,"Sausage, Pork, Fresh",3.00 medium link - breakfast size,195.0,0.0,0.0,29.93,0.15,0.11,3.67,0.48,0.12,0.59,0.6,16.8,0.0,34.8,0.54,0.0,5.4,0.04,0.72,9.6,0.01,89.4,205.2,12.42,488.4,1.47,0.85,0.0,0.0,0.65,0.84,16.35,51.6,6.92,3.07,5.3,0.07,0.1,2.71,0.14,0.32,0.44,0.82,0.74,0.26,0.4,11.12,0.37,0.11,0.31,0.53,Sausages and Luncheon Meats
2,2022-07-20,"Mango, Fresh",2.00 each,403.2,0.0,0.0,560.85,0.19,0.26,4.5,1.32,0.8,0.0,288.96,363.72,244.61,0.0,6.05,28.22,73.92,0.75,1.08,67.2,0.42,94.08,1128.96,4.03,6.72,0.6,100.67,10.75,1.55,91.8,88.84,2.55,0.0,0.94,0.48,0.62,0.0,0.34,0.13,0.0,0.13,0.19,0.34,0.44,0.05,0.18,5.51,0.21,0.09,0.11,0.28,Fruits and Fruit Juices
3,2022-07-20,"Chocolate Milk, Whole",1.00 cup,207.5,0.0,2.5,205.75,0.09,0.41,0.31,0.74,0.1,0.83,12.5,66.46,2.25,127.5,0.18,0.75,280.0,0.16,0.6,32.5,0.19,252.5,417.5,4.75,150.0,1.03,25.85,2.0,0.0,23.85,23.8,8.48,30.0,2.48,0.31,5.26,0.3,0.11,0.14,0.05,0.24,0.41,0.75,0.66,0.21,0.41,7.93,0.34,0.1,0.4,0.52,Dairy and Egg Products
4,2022-07-20,"Beef Enchiladas, with Cheese","1.00 each - 6"" long, 6"" diameter tortilla rolled",220.55,0.0,0.0,121.97,0.08,0.18,2.41,0.39,0.25,0.99,12.3,63.51,0.29,3.77,0.81,3.73,142.53,0.1,1.86,33.74,0.13,215.73,263.71,10.65,650.03,2.75,15.49,1.8,11.22,2.04,13.67,11.54,40.43,3.47,0.89,5.09,0.4,0.07,0.72,0.13,0.44,0.64,1.16,1.03,0.34,0.59,13.65,0.51,0.1,0.49,0.72,"Meals, Entrees, and Sidedishes"
5,2022-07-20,"Scrambled Egg, Plain",3.00 unknown size egg used - 1 whole egg or 2 egg whites,315.06,0.0,0.0,156.14,0.12,0.86,0.14,2.26,0.6,3.07,68.39,341.75,0.1,152.91,2.16,11.42,132.7,0.02,1.8,20.27,0.05,301.81,256.45,47.35,1175.18,1.8,3.89,0.0,0.0,4.01,3.88,23.98,563.16,7.57,5.14,7.27,0.04,0.45,4.6,0.45,0.49,1.11,1.76,1.48,0.63,1.08,20.38,0.97,0.25,0.85,1.25,Dairy and Egg Products
6,2022-07-20,"Whole Wheat Bread, Store Bought",2.00 medium slice,181.44,0.0,0.0,28.09,0.28,0.12,3.2,0.47,0.15,0.0,30.24,0.12,0.0,0.0,1.92,5.62,115.92,0.16,1.78,54.0,1.57,152.64,182.88,18.5,327.6,1.27,30.75,4.32,20.69,3.12,26.33,2.52,0.0,0.45,1.15,0.52,0.01,0.1,1.04,0.1,0.1,0.16,0.29,0.12,0.07,0.2,8.96,0.12,0.07,0.13,0.2,Baked Products
7,2022-07-20,"Butter, Salted","1.00 pat - 1"" square x 1/3"" high",33.91,0.0,0.0,0.75,0.0,0.0,0.0,0.01,0.0,0.01,0.14,32.35,0.0,0.49,0.11,0.33,1.13,0.0,0.0,0.09,0.0,1.13,1.13,0.05,30.41,0.0,0.0,0.0,0.0,0.0,0.0,3.84,10.17,0.99,0.14,2.43,0.16,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,Fats and Oils
8,2022-07-21,"Popcorn, Home Popped, Hot Air Popped","1.00 cup, whole pieces",30.95,0.0,0.0,0.27,0.01,0.01,0.18,0.04,0.01,0.0,2.48,0.79,0.0,0.0,0.02,0.1,0.56,0.02,0.26,11.52,0.09,28.63,26.31,0.0,0.64,0.25,6.22,1.16,4.35,0.07,5.05,0.36,0.0,0.08,0.19,0.05,0.0,0.0,0.18,0.02,0.03,0.03,0.12,0.03,0.02,0.05,1.03,0.04,0.01,0.04,0.05,Snacks
9,2022-07-21,"Chick-fil-A, Chicken Nuggets",12.00 nugget,393.1,0.0,0.0,92.88,0.22,0.24,17.15,1.34,0.79,0.44,40.99,11.68,0.0,6.51,2.22,0.53,23.08,0.09,2.21,38.96,0.15,299.21,339.54,41.32,1470.01,1.72,13.39,0.53,12.81,0.05,12.82,17.87,110.29,7.49,5.14,3.68,0.17,0.13,4.92,0.55,1.28,2.18,3.13,3.45,1.14,1.68,41.92,1.74,0.49,1.41,2.06,Fast Foods
